Table 1: Group 1 Anti-Neoplastic Drugs,,,,,
RxNorm (RxCUI),Ingredient Name,Form,AHFS classification,Supplemental information,Personal Protective Equipment
1100072,abiraterone,oral tablet,10:00 antineoplastic agents,"Women who are pregnant
or may be pregnant should
not handle without protec-
tion (e.g., gloves); FDA
Pregnancy Category X
Conjugated monoclonal
antibody; FDA Pregnancy",
1371041,ado-trastuzumab emtansine,injectable,10:00 antineoplastic agents,Conjugated monoclonal antibody; FDA Pregnancy Category D,
1430438,afatinib,oral tablet,10:00 antineoplastic agents,"Special warnings on while taking and 2 weeks
post-treatment; FDA Pregnancy Category D",
5296,altretamine,oral tablet,10:00 antineoplastic agents,FDA Pregnancy Category D,
739,amsacrine,injectable,NA antineoplastic agents,IARC Group 2B†,
84857,anastrozole,oral tablet,10:00 antineoplastic agents,FDA Pregnancy Category X,
18330,arsenic trioxide,injectable,10:00 antineoplastic agents,"IARC Group 1 carcinogen; NTP**; FDA PregnancyCategory D",
1242999,axitinib,oral tablet,10:00 antineoplastic agents,"Teratogenic, embryotoxicand fetotoxic in mice at ex-posures lower than humanexposures; FDA Pregnancycategory D",
1251,azacitidine,injectable,10:00 antineoplastic agents,IARC Group 2A carcinogen; NTP***; FDA Pregnancy Category D,
221050,Bacillus Calmette-Guerin (BCG),injectable & topical,,requirements‡; FDA Pregnancy Category C,
1543543,belinostat,injectable,10:00 antineoplastic agents,"May cause teratogenicity and/or embryo-fetal lethality because it is a genotoxic        
drug and targets actively        
dividing cells; FDA Pregnancy Category D        ",
134547,bendamustine,injectable,10:00 antineoplastic agents,FDA Pregnancy Category D,
233272,bexarotene,oral tablet & topical,10:00 antineoplastic agents,FDA Pregnancy Category X,
83008,bicalutamide,oral tablet,10:00 antineoplastic agents,FDA Pregnancy Category X,
1622,bleomycin,injectable,10:00 antineoplastic agents,IARC Group 2B; FDA Preg-,
358258,bortezomib,injectable,10:00 antineoplastic agents,FDA Pregnancy Category D,
1307619,bosutinib,oral tablet,10:00 antineoplastic agents,FDA Pregnancy Category D,
