RxNorm (RxCUI),Ingredient Name,Form,Supplemental information,Personal Protective Equipment,DailyMed,DrugBank
1100072,abiraterone,oral tablet,Women who are pregnantor may be pregnant shouldnot handle without protec-tion (e.g.| gloves); FDAPregnancy Category XConjugated monoclonalantibody; FDA Pregnancy,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4e338e89-3cf2-48eb-b6e2-a06c608c6513,http://www.drugbank.ca/drugs/DB05812
1371041,ado-trastuzumab emtansine,injectable,Conjugated monoclonal antibody; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=23f3c1f4-0fc8-4804-a9e3-04cf25dd302e,http://www.drugbank.ca/drugs/DB05773
1430438,afatinib,oral tablet,Special warnings on while taking and 2 weekspost-treatment; FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fd638e5e-8032-e7ca-0179-95e96ab5d387,http://www.drugbank.ca/drugs/DB08916
5296,altretamine,oral tablet,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=altretamine,http://www.drugbank.ca/drugs/DB00488
739,amsacrine,injectable,IARC Group 2B†,,,http://www.drugbank.ca/drugs/DB00276
84857,anastrozole,oral tablet,FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=anastrozole,http://www.drugbank.ca/drugs/DB01217
18330,arsenic trioxide,injectable,"IARC Group 1 carcinogen; NTP**; FDA PregnancyCategory D",,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=dec51fab-3784-deb7-752f-2d4d5692a20f,http://www.drugbank.ca/drugs/DB01169
1242999,axitinib,oral tablet,"Teratogenic| embryotoxicand fetotoxic in mice at exposures lower than human exposures; FDA Pregnancy category D",,http://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=axitinib,http://www.drugbank.ca/drugs/DB06626
1251,azacitidine,injectable,IARC Group 2A carcinogen; NTP***; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=azacitidine,http://www.drugbank.ca/drugs/DB00928
221050,Bacillus Calmette-Guerin (BCG),injectable & topical,requirements‡; FDA Pregnancy Category C,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=bcg,
1543543,belinostat,injectable,May cause teratogenicity and/or embryo-fetal lethality because it is a genotoxic drug and targets actively dividing cells; FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=84b2e16e-f0d1-4757-8da8-79dfa83aab79,http://www.drugbank.ca/drugs/DB05015
134547,bendamustine,injectable,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=39d53698-57fa-7c99-fc5b-f52a55684826,http://www.drugbank.ca/drugs/DB06769
233272,bexarotene,oral tablet & topical,FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=bexarotene,http://www.drugbank.ca/drugs/DB00307
83008,bicalutamide,oral tablet,FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=bicalutamide,http://www.drugbank.ca/drugs/DB01128
1622,bleomycin,injectable,IARC Group 2B; FDA Preg-,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=bleomycin,http://www.drugbank.ca/drugs/DB00290
358258,bortezomib,injectable,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1521d321-e724-4ffc-adad-34bf4f44fac7,http://www.drugbank.ca/drugs/DB00188
1307619,bosutinib,oral tablet,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=bosutinib,http://www.drugbank.ca/drugs/DB06616
1147320,brentuximab vedotin,injectable,Conjugated monoclonal antibody; FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3904f8dd-1aef-3490-e48f-bd55f32ed67f,http://www.drugbank.ca/drugs/DB08870
1828,busulfan,oral tablet & injectable,IARC Group 1 carcinogen; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=busulfan,http://www.drugbank.ca/drugs/DB01008
996051,cabazitaxel,injectable,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=de3d9c26-572b-4ea4-9b2d-dd58a2b3e8fa,http://www.drugbank.ca/drugs/DB06772
1363268,cabozantinib,oral tablet,Embryolethal in rats at exposures below the recommended human dose; FDA Pregnancy category D,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1a0c3bea-c87b-4d25-bb44-5f0174da6b34,http://www.drugbank.ca/drugs/DB08875
194000,capecitabine,oral tablet,Metabolized to 5-fluo-rouracil; FDA Pregnancy,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=capecitabine,http://www.drugbank.ca/drugs/DB01101
40048,carboplatin,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=carboplatin,http://www.drugbank.ca/drugs/DB00958
1302966,carfilzomib,injectable,Special warnings on contraception while taking and 2 weeks post-treatment; FDA Pregnancy category D,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ea66eb30-e665-4693-99a1-a9d3b4bbe2d6,http://www.drugbank.ca/drugs/DB08889
2105,carmustine,injectable,IARC Group 2A carcinogen; NTP***; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=carmustine,http://www.drugbank.ca/drugs/DB00262
2346,chlorambucil,oral tablet,IARC Group 1 carcinogen; NTP**; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=chlorambucil,http://www.drugbank.ca/drugs/DB00291
2555,cisplatin,injectable,IARC Group 2A carcinogen; NTP***; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=chlorambucil,http://www.drugbank.ca/drugs/DB00515
44157,cladribine,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=cladribine,http://www.drugbank.ca/drugs/DB00242
44151,clofarabine,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=clofarabine,http://www.drugbank.ca/drugs/DB00631
1148495,crizotinib,oral tablet,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2a51b0de-47d6-455e-a94c-d2c737b04ff7,http://www.drugbank.ca/drugs/DB08865
3002,cyclophosphamide,oral tablet & injectable,IARC Group 1 carcinogen; NTP**; FDA PregnancyCategory D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=cyclophosphamide,http://www.drugbank.ca/drugs/DB00531
3041,cytarabine,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=cytarabine,http://www.drugbank.ca/drugs/DB00987
1424911,dabrafenib,oral tablet,Special warnings oncontraception for femaleswhile taking and 2 weekspost-treatment; FDA Preg-nancy Category DNTP***; FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=803beaaa-33f9-48cc-9a95-c2e887e095b4,http://www.drugbank.ca/drugs/DB08912
3098,dacarbazine,injectable,NTP***; FDA Pregnancy Category C,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=dacarbazine,http://www.drugbank.ca/drugs/DB00851
3100,dactinomycin,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9914e793-a49c-eb00-1ab7-f606c786fe25,http://www.drugbank.ca/drugs/DB00970
475342,dasatinib,oral tablet,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=dasatinib,http://www.drugbank.ca/drugs/DB01254
3109,daunorubicin,injectable,"IARC Group 2B| AKA dau-nomycin; FDA Pregnancy Category D	",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=daunorubicin,http://www.drugbank.ca/drugs/DB00694
15657,decitabine,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=decitabine,http://www.drugbank.ca/drugs/DB01262
475230,degarelix,injectable,FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ab11dd8a-0fd9-4013-89ab-e114557c7e4b,http://www.drugbank.ca/drugs/DB06699
72962,docetaxel,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=docetaxel,http://www.drugbank.ca/drugs/DB01248
3639,doxorubicin,injectable,"IARC Group 2A carcinogen; NTP***; FDA PregnancyCategory D	",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=doxorubicin,http://www.drugbank.ca/drugs/DB00997
1307298,enzalutamide,oral capsule,"Embryo-fetal toxicity inmice at exposures that were lower than in patients	receiving the recommend-	ed dose; FDA Pregnancy	Category X	",,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b129fdc9-1d8e-425c-a5a9-8a2ed36dfbdf,http://www.drugbank.ca/drugs/DB08899
3995,epirubicin,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=epirubicin,http://www.drugbank.ca/drugs/DB00445
1045453,eribulin,injectable,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=31ce4750-ded5-4a0b-95e9-f229fa6bc822,http://www.drugbank.ca/drugs/DB08871
337525,erlotinib,oral tablet,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=erlotinib,http://www.drugbank.ca/drugs/DB00530
4089,estramustine,oral capsule,FDA Pregnancy Category X,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a9b01bc6-95ac-46f9-befa-d845a74d53c1,http://www.drugbank.ca/drugs/DB01196
4179,etoposide,oral capsule,IARC Group 1 carcinogen; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=etoposide,http://www.drugbank.ca/drugs/DB00773
141704,everolimus,oral tablet,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=everolimus,http://www.drugbank.ca/drugs/DB01590
258494,exemestane,oral tablet,FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=exemestane,http://www.drugbank.ca/drugs/DB00990
4488,floxuridine,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c8edabc1-67cd-421b-a147-7c1f19f05b8e,http://www.drugbank.ca/drugs/DB00322
24698,fludarabine,oral tablet & injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=fludarabine,http://www.drugbank.ca/drugs/DB01073
4492,fluorouracil,oral capsule & injectable & topical,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=fluorouracil,http://www.drugbank.ca/drugs/DB00544
4508,flutamide,oral capsule,Indicated only for men;FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=flutamide,http://www.drugbank.ca/drugs/DB00499
282357,fulvestrant,injectable,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=83d7a440-e904-4e36-afb5-cb02b1c919f7,http://www.drugbank.ca/drugs/DB00947
12574,gemcitabine,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=gemcitabine,http://www.drugbank.ca/drugs/DB00441
1294580,gemtuzumab ozogamicin,injectable,FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=32fd2bb2-1cfa-4250-feb8-d7956c794e05,http://www.drugbank.ca/drugs/DB00056
50610,goserelin,implant product,FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=goserelin,http://www.drugbank.ca/drugs/DB00014
50975,histrelin,implant product,Can cause fetal harm when administered to a pregnant patient| with the possibility of spontaneous abortion; FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=histrelin,http://www.drugbank.ca/drugs/DB06788
5552,hydroxyurea,oral capsule,Special warning on han-dling bottles and capsules;FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=hydroxyurea,http://www.drugbank.ca/drugs/DB01005
5650,idarubicin,oral capsule & injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=idarubicin,http://www.drugbank.ca/drugs/DB01177
5657,ifosfamide,injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=ifosfamide,http://www.drugbank.ca/drugs/DB01181
